Scones,Mela,Rods,Mcones,RedOpsin,x_axis
0.9286639286639287,0.27,0.13241921995969616,0.10403610403610404,0.0,350.0
0.9351344351344352,0.27,0.13249964781590914,0.10466860466860467,0.0,350.5
0.9416049416049417,0.27,0.13258007567212213,0.10530110530110531,0.0,351.0
0.9475104475104476,0.27,0.13264052145225733,0.10584910584910585,0.0,351.5
0.9534159534159534,0.27,0.13270096723239255,0.10639710639710641,0.0,352.0
0.9587219587219586,0.27,0.13274143093645,0.10686460686460687,0.0,352.5
0.964027964027964,0.27,0.13278189464050746,0.10733210733210734,0.0,353.0
0.9687019687019688,0.27,0.13280537357989883,0.10772310772310772,0.0,353.5
0.9733759733759734,0.27,0.13282885251929022,0.10811410811410811,0.0,354.0
0.9773879773879774,0.265,0.13283534669401548,0.10843310843310844,0.0,354.5
0.9813999813999814,0.26,0.13284184086874073,0.10875210875210875,0.0,355.0
0.9847234847234847,0.26,0.1328343475902116,0.10900460900460901,0.0,355.5
0.9880469880469881,0.26,0.13282685431168245,0.10925710925710927,0.0,356.0
0.9906574906574908,0.26,0.13280637268370274,0.10944810944810945,0.0,356.5
0.9932679932679933,0.26,0.13278589105572303,0.10963910963910964,0.0,357.0
0.9951449951449952,0.26,0.13275441928590054,0.10977260977260977,0.0,357.5
0.9970219970219971,0.26,0.13272294751607808,0.10990610990610991,0.0,358.0
0.9981484981484982,0.26,0.13268198426011868,0.10998860998861,0.0,358.5
0.9992749992749993,0.26,0.13264102100415928,0.11007111007111008,0.0,359.0
0.9996374996374997,0.26,0.13259356357347463,0.1101066101066101,0.0,359.5
1.0,0.26,0.13254610614278994,0.11014211014211014,0.0,360.0
0.9995894995894996,0.26,0.1324931536411839,0.11013561013561013,0.0,360.5
0.9991789991789992,0.26,0.13244020113957783,0.11012911012911014,0.0,361.0
0.997989997989998,0.26,0.13238475087846202,0.11008611008611009,0.0,361.5
0.9968009968009969,0.26,0.13232930061734627,0.11004311004311004,0.0,362.0
0.9948319948319949,0.255,0.1322738503562305,0.10996760996760997,0.0,362.5
0.992862992862993,0.25,0.1322184000951147,0.1098921098921099,0.0,363.0
0.9901169901169902,0.25,0.13216394893780284,0.1097886097886098,0.0,363.5
0.9873709873709874,0.25,0.13210949778049091,0.1096851096851097,0.0,364.0
0.9838559838559838,0.25,0.13206004214219846,0.10955860955860956,0.0,364.5
0.9803409803409804,0.25,0.132010586503906,0.10943210943210943,0.0,365.0
0.9760679760679761,0.25,0.13196762504033882,0.10928610928610928,0.0,365.5
0.9717949717949719,0.25,0.13192466357677163,0.10914010914010915,0.0,366.0
0.9667789667789668,0.25,0.13189069404743944,0.10897910897910898,0.0,366.5
0.9617629617629618,0.25,0.1318567245181073,0.10881810881810881,0.0,367.0
0.9560249560249561,0.25,0.1318352437863237,0.10864510864510864,0.0,367.5
0.9502869502869503,0.25,0.13181376305454007,0.10847210847210847,0.0,368.0
0.9438489438489439,0.245,0.13180676932791288,0.10829110829110829,0.0,368.5
0.9374109374109374,0.24,0.13179977560128567,0.10811010811010811,0.0,369.0
0.9303004303004304,0.24,0.1318102661912265,0.10792410792410792,0.0,369.5
0.9231899231899232,0.24,0.1318207567811673,0.10773810773810774,0.0,370.0
0.9154379154379155,0.24,0.1318512294471859,0.10755060755060755,0.0,370.5
0.9076859076859076,0.24,0.13188170211320446,0.10736310736310736,0.0,371.0
0.8993253993253993,0.24,0.1319356537186144,0.1071766071766072,0.0,371.5
0.890964890964891,0.24,0.13198960532402437,0.106990106990107,0.0,372.0
0.8820333820333821,0.24,0.13206903407643347,0.10680760680760681,0.0,372.5
0.8731018731018731,0.24,0.13214846282884254,0.10662510662510663,0.0,373.0
0.8636378636378637,0.24,0.13225686559156435,0.10644910644910645,0.0,373.5
0.8541738541738542,0.24,0.13236526835428622,0.10627310627310628,0.0,374.0
0.8442188442188442,0.24,0.13250564243873245,0.10610560610560611,0.0,374.5
0.8342638342638342,0.24,0.1326460165231787,0.10593810593810594,0.0,375.0
0.8238618238618238,0.24,0.13282135924076108,0.10578160578160578,0.0,375.5
0.8134598134598136,0.24,0.1329967019583434,0.10562510562510563,0.0,376.0
0.8026553026553027,0.24,0.13321001062047344,0.10548160548160548,0.0,376.5
0.7918507918507919,0.24,0.1334233192826035,0.10533810533810534,0.0,377.0
0.7806897806897807,0.24,0.13367709164879105,0.1052096052096052,0.0,377.5
0.7695287695287696,0.24,0.13393086401497858,0.10508110508110508,0.0,378.0
0.7580582580582581,0.24,0.13422859694853717,0.10496910496910498,0.0,378.5
0.7465877465877466,0.24,0.13452632988209576,0.10485710485710487,0.0,379.0
0.7348552348552349,0.24,0.13487152024633906,0.10476360476360477,0.0,379.5
0.7231227231227232,0.24,0.13521671061058232,0.10467010467010467,0.0,380.0
0.7111757111757112,0.24,0.13561185616502,0.10459660459660461,0.0034940745209029165,380.5
0.6992286992286992,0.24,0.13600700171945765,0.10452310452310454,0.006988149041805833,381.0
0.687114187114187,0.24,0.13645559932740334,0.10447060447060447,0.010425612571358786,381.5
0.6749996749996751,0.24,0.136904196935349,0.10441810441810442,0.013863076100911738,382.0
0.6627641627641628,0.24,0.1374087443563124,0.1043881043881044,0.017243928639114725,382.5
0.6505286505286505,0.24,0.1379132917772758,0.10435810435810437,0.020624781177317718,383.0
0.6382181382181382,0.24,0.1384772858745705,0.10435260435260435,0.02394902272417074,383.5
0.6259076259076259,0.24,0.13904127997186527,0.10434710434710434,0.027273264271023764,384.0
0.6135656135656135,0.24,0.13966821760880493,0.10436610436610437,0.03054089482652683,384.5
