Violet,Blue,Green,Yellow,Red,595xDM605xF600,White,x_axis
0,0,0,0,0,0,0.0036,350
0,0,0,0,0,0,0.005415,350.5
0,0,0,0,0,0,-0.001817,351
0,0,0,0,0,0,0.000377,351.5
0,0,0,0,0,0,0.0008,352
0,0,0,0,0,0,0.00133,352.5
0,0,0,0,0,0,0.001315,353
0,0,0,0,0,0,0.010187,353.5
0,0,0,0,0,0,0.001511,354
0,0,0,0,0,0,0.008563,354.5
0,0,0,0,0,0,0.002036,355
0,0,0,0,0,0,0.007261,355.5
0,0,0,0,0,0,0.002979,356
0,0,0,0,0,0,-0.00438,356.5
0,0,0,0,0,0,0.009047,357
0,0,0,0,0,0,0.004296,357.5
0,0,0,0,0,0,0.007171,358
0.000850821960795449,0,0,0,0,0,0.003418,358.5
0.837090086186798,0,0,0,0,0,0.001895,359
0.793646694194034,0,0,0,0,0,0.001368,359.5
-0.212280521641892,0,0,0,0,0,-0.000577,360
-0.249155714472037,0,0,0,0,0,0.012396,360.5
-0.226066145650764,0,0,0,0,0,0.011793,361
-0.0703540039139041,0,0,0,0,0,0.007534,361.5
0.821270420447926,0,0,0,0,0,0.009511,362
0.516635829602756,0,0,0,0,0,0.012739,362.5
0.207947281207233,0,0,0,0,0,0.004265,363
0.276970544997452,0,0,0,0,0,0.01578,363.5
0.0670100329104498,0,0,0,0,0,0.018035,364
-0.375401612585305,0,0,0,0,0,0.017339,364.5
-1.22246384024967,0,0,0,0,0,0.016431,365
-0.336785373777838,0,0,0,0,0,0.020312,365.5
-0.172893024725432,0,0,0,0,0,0.025782,366
-0.378435209255389,0,0,0,0,0,0.023331,366.5
-0.4976977743123,0,0,0,0,0,0.022143,367
0.439310921600648,0,0,0,0,0,0.024783,367.5
-0.20085433097387,0,0,0,0,0,0.017097,368
-0.835993675078015,0,0,0,0,0,0.023074,368.5
-0.837882020018538,0,0,0,0,0,0.020259,369
-0.427484640486963,0,0,0,0,0,0.01746,369.5
0.925270470383047,0.04201173432148,0,0,0,0,0.019669,370
-0.368846053445447,-0.0287796114922668,0,0,0,0,0.01771,370.5
0.0835665941766441,0.0876545565909074,0,0,0,0,0.019745,371
0.375229763434701,0.058981920048283,0,0,0,0,0.023966,371.5
-0.357669548744742,0.102926688095058,0,0,0,0,0.011808,372
-0.403653722850019,0.224777845494174,0,0,0,0,0.010792,372.5
-0.72028851529822,0.147571505886721,0,0,0,0,0.003297,373
0.160399631124429,-0.0605841247140808,0,0,0,0,0.014948,373.5
-0.916585038782386,-0.0291913031544207,0,0,0,0,0.009531,374
-0.804930181740993,-0.185526354541796,0,0,0,0,0.009108,374.5
0.297255137585779,-0.00286624257090942,0,0,0,0,0.009077,375
-0.166606666304091,0.143524590114368,0,0,0,0,0.018042,375.5
1.34163827272509,0.0427192993111751,0,0,0,0,0.009773,376
0.0863762142196515,0.316659552113733,0,0,0,0,0.016784,376.5
0.0352897758037015,0.259914731652903,0,0,0,0,0.008714,377
-0.555024391425507,0.136303232254015,0,0,0,0,0.003872,377.5
0.161580620527274,0.132282962086293,0,0,0,0,0.006671,378
0.0144111937985773,-0.0641746742848669,0,0,0,0,0.007791,378.5
-0.328215281919235,-0.270314461407037,0,0,0,0,0.011074,379
1.09887928125634,-0.214734310589015,0,0,0,0,0.007428,379.5
0.160335052257073,0.0355450262147534,0,0,0,0,0.002109,380
1.41054436353015,0.181406898530733,0,0,0,0,0.009856,380.5
0.333700096919279,0.0312663913634268,0,0,0,0,0.008563,381
1.26844823072795,-0.011997032932708,0,0,0,0,0.017188,381.5
0.808853391298631,-0.0784729967294582,0,0,0,0,0.005536,382
1.2334923927151,-0.00875765099823408,0,0,0,0,0.007443,382.5
0.985735568016806,0.0746378365783393,0,0,0,0,0.006747,383
0.883701177214562,-0.125026624610047,0,0,0,0,0.007443,383.5
1.00846439544224,0.0484289261209173,0,0,0,0,0.004765,384
2.03964994358809,0.568814207801633,0,0,0,0,0.010893,384.5
1.11481018968873,0.389704885058696,0,0,0,0,0.009085,385
1.02700629670405,0.105430275697381,0,0,0,0,0.013788,385.5
0.584477191775547,-0.0727840112661629,0,0,0,0,0.000664,386
0.717846391241252,0.112883171015998,0,0,0,0,0.007241,386.5
1.49357686191834,-0.0471834080837851,0,0,0,0,0.008426,387
0.496124443721255,-0.116684347723598,0,0,0,0,0.012224,387.5
2.09998699217227,-0.022005512561149,0,0,0,0,0.015271,388
6.26778500560595,-0.426034886790782,0,0,0,0,0.009123,388.5
17.5509808338372,-0.328624301623464,0,0,0,0,0.006384,389
36.8111811868643,0.303080256365984,0,0,0,0,0.014222,389.5
49.2109646061968,0.341603780220399,0,0,0,0,0.014252,390
53.2101613201925,-0.0849242972466865,0,0,0,0,0.016885,390.5
55.0312609699579,0.266405973452357,0,0,0,0,0.01292,391
53.5275230433942,0.281458664243932,0,0,0,0,0.006898,391.5
49.7997860377936,-0.0264343997218967,0,0,0,0,0.008782,392
47.7522472552344,-0.283739109728753,0,0,0,0,0.008396,392.5
43.3602202664226,0.436570234006665,0,0,0,0,0.005052,393
41.5168654881062,0.164776229981031,0,0,0,0,0.013253,393.5
38.7146279744231,0.146494936454249,0,0,0,0,0.013526,394
36.3629790106917,0.109179554989666,0,0,0,0,0.00944,394.5
31.7109085149608,0.229536733087465,0,0,0,0,0.012103,395
30.8633073661034,0.254813808309643,0,0,0,0,0.006848,395.5
27.6879869463236,0.17781604004404,0,0,0,0,0.003842,396
25.6931025841963,0.334425904902717,0,0,0,0,0.01635,396.5
23.1910101057144,0.557058156926177,0,0,0,0,0.013306,397
19.3641819404431,0.334889736378316,0,0,0,0,0.014948,397.5
19.3105825892113,0.398671471845457,0,0,0,0,0.010938,398
16.9384934420046,0.31933707976494,0,0,0,0,0.01516,398.5
15.7957940351554,0.530310718745003,0,0,0,0,0.01749,399
13.8125950273682,0.711178143207645,0,0,0,0,0.013904,399.5
12.8412932430129,0.719205416794684,0,0,0,0,0.008457,400
13.6258496064069,1.20779587655636,0,0,0,0,0.014653,400.5
11.0629176254732,0.803878001532675,0,0,0,0,0.009561,401
11.6784348082643,1.03409487131566,0,0,0,0,0.013344,401.5
10.8120950556928,1.35110457358085,0,0,0,0,0.023157,402
9.58866452666893,1.55296985283215,0,0,0,0,0.024587,402.5
11.1666794445476,2.12900957148223,0,0,0,0,0.012164,403
8.59465359919782,2.22204798374323,0,0,0,0,0.033613,403.5
7.50950150530132,2.30865587530013,0,0,0,0,0.045302,404
6.53019570837307,2.85820852908416,0,0,0,0,0.065003,404.5
7.10641081992539,3.38766048958685,0,0,0,0,0.065517,405
6.33257154434984,3.40424761212215,0,0,0,0,0.078341,405.5
6.10928573512611,4.65550467878759,0,0,0,0,0.066213,406
6.38193847991141,5.06188397100253,0,0,0,0,0.056363,406.5
4.88605216942603,5.82517303798111,0,0,0,0,0.048774,407
6.22855347761021,6.57989232773247,0,0,0,0,0.051059,407.5
4.37448618823506,7.18560458210765,0,0,0,0,0.039219,408
3.35835783435734,8.37409817629824,0,0,0,0,0.040566,408.5
