351,0.0000
352,0.0000
353,0.0000
354,0.0000
355,0.0000
356,0.0000
357,0.0000
358,0.0000
359,0.0000
360,0.0000
361,0.0000
362,0.0000
363,0.0000
364,0.0000
365,0.0000
366,0.0000
367,0.0000
368,0.0000
369,0.0000
370,0.0000
371,0.0000
372,0.0000
373,0.0000
374,0.0000
375,0.0000
376,0.0000
377,0.0000
378,0.0000
379,0.0000
380,0.0000
381,0.0000
382,0.0000
383,0.0000
384,0.0000
385,0.0000
386,0.0000
387,0.0000
388,0.0000
389,0.0000
390,0.0000
391,0.0000
392,0.0000
393,0.0000
394,0.0000
395,0.0000
396,0.0000
397,0.0000
398,0.0000
399,0.0000
400,0.0000
401,0.0000
402,0.0000
403,0.0000
404,0.0000
405,0.0000
406,0.0000
407,0.0000
408,0.0000
409,0.0000
410,0.0000
411,0.0000
412,0.0000
413,0.0000
414,0.0000
415,0.0000
416,0.0000
417,0.0000
418,0.0000
419,0.0000
420,0.0000
421,0.0000
422,0.0000
423,0.0000
424,0.0000
425,0.0000
426,0.0000
427,0.0000
428,0.0000
429,0.0000
430,0.0000
431,0.0000
432,0.0000
433,0.0000
434,0.0000
435,0.0000
436,0.0000
437,0.0000
438,0.0014
439,0.0000
440,0.0000
441,0.0000
442,0.0000
443,0.0000
444,0.0000
445,0.0000
446,0.0000
447,0.0000
448,0.0000
449,0.0000
450,0.0000
451,0.0000
452,0.0000
453,0.0000
454,0.0000
455,0.0000
456,0.0000
457,0.0000
458,0.0000
459,0.0000
460,0.0000
461,0.0000
462,0.0000
463,0.0000
464,0.0000
465,0.0000
466,0.0000
467,0.0000
468,0.0000
469,0.0000
470,0.0000
471,0.0000
472,0.0000
473,0.0000
474,0.0000
475,0.0000
476,0.0000
477,0.0000
478,0.0000
479,0.0000
480,0.0000
481,0.0000
482,0.0000
483,0.0000
484,0.0000
485,0.0000
486,0.0000
487,0.0000
488,0.0000
489,0.0000
490,0.0000
491,0.0000
492,0.0000
493,0.0000
494,0.0000
495,0.0000
496,0.0000
497,0.0000
498,0.0000
499,0.0000
500,0.0000
501,0.0000
502,0.0000
503,0.0000
504,0.0000
505,0.0000
506,0.0000
507,0.0018
508,0.0000
509,0.0022
510,0.0021
511,0.0019
512,0.0019
513,0.0030
514,0.0038
515,0.0040
516,0.0066
517,0.0079
518,0.0076
519,0.0089
520,0.0075
521,0.0068
522,0.0058
523,0.0049
524,0.0041
525,0.0044
526,0.0047
527,0.0048
528,0.0047
529,0.0048
530,0.0041
531,0.0047
532,0.0048
533,0.0040
534,0.0056
535,0.0057
536,0.0054
537,0.0049
538,0.0066
539,0.0069
540,0.0067
541,0.0080
542,0.0075
543,0.0083
544,0.0076
545,0.0074
546,0.0079
547,0.0091
548,0.0099
549,0.0115
550,0.0144
551,0.0196
552,0.0279
553,0.0431
554,0.0648
555,0.0947
556,0.1333
557,0.1766
558,0.2277
559,0.2775
560,0.3248
561,0.3697
562,0.4171
563,0.4613
564,0.5170
565,0.5767
566,0.6484
567,0.7229
568,0.7960
569,0.8488
570,0.8938
571,0.9214
572,0.9372
573,0.9457
574,0.9512
575,0.9553
576,0.9575
577,0.9600
578,0.9643
579,0.9671
580,0.9717
581,0.9736
582,0.9772
583,0.9802
584,0.9845
585,0.9858
586,0.9878
587,0.9879
588,0.9927
589,0.9959
590,0.9936
591,0.9957
592,0.9965
593,0.9964
594,0.9978
595,0.9973
596,0.9977
597,0.9977
598,0.9978
599,0.9982
600,0.9995
601,0.9985
602,0.9988
603,0.9948
604,0.9935
605,0.9895
606,0.9874
607,0.9832
608,0.9827
609,0.9767
610,0.9737
611,0.9686
612,0.9610
613,0.9535
614,0.9491
615,0.9402
616,0.9319
617,0.9244
618,0.9158
619,0.9070
620,0.8961
621,0.8863
622,0.8755
623,0.8653
624,0.8532
625,0.8433
626,0.8284
627,0.8223
628,0.8044
629,0.7928
630,0.7799
631,0.7670
632,0.7528
633,0.7392
634,0.7252
635,0.7092
636,0.6937
637,0.6810
638,0.6655
639,0.6514
640,0.6380
641,0.6227
642,0.6077
643,0.5936
644,0.5810
645,0.5655
646,0.5506
647,0.5405
648,0.5241
649,0.5094
650,0.4969
651,0.4837
652,0.4691
653,0.4538
654,0.4430
655,0.4288
656,0.4165
657,0.4045
658,0.3917
659,0.3786
660,0.3653
661,0.3548
662,0.3426
663,0.3288
664,0.3193
665,0.3074
666,0.2960
667,0.2861
668,0.2757
669,0.2653
670,0.2563
671,0.2473
672,0.2391
673,0.2294
674,0.2215
675,0.2131
676,0.2058
677,0.1994
678,0.1939
679,0.1855
680,0.1782
681,0.1713
682,0.1659
683,0.1590
684,0.1525
685,0.1474
686,0.1415
687,0.1359
688,0.1316
689,0.1255
690,0.1214
691,0.1166
692,0.1133
693,0.1085
694,0.1045
695,0.1001
696,0.0969
697,0.0932
698,0.0895
699,0.0863
700,0.0826
701,0.0794
702,0.0772
703,0.0739
704,0.0722
705,0.0691
706,0.0663
707,0.0643
708,0.0606
709,0.0587
710,0.0563
711,0.0543
712,0.0533
713,0.0518
714,0.0489
715,0.0476
716,0.0449
717,0.0424
718,0.0417
719,0.0401
720,0.0370
721,0.0370
722,0.0355
723,0.0342
724,0.0332
725,0.0310
726,0.0309
727,0.0284
728,0.0277
729,0.0266
730,0.0257
731,0.0250
732,0.0234
733,0.0221
734,0.0214
735,0.0211
736,0.0194
737,0.0184
738,0.0179
739,0.0171
740,0.0165
741,0.0161
742,0.0153
743,0.0143
744,0.0135
745,0.0137
746,0.0125
747,0.0128
748,0.0113
749,0.0110
750,0.0107
751,0.0096
